label,titles_to_include
Faculty,Research Faculty
Post-doctoral researcher,Medical physics resident/postdoc
Research software engineer,
Research staff,"Biostatistician, Clinical Research Program Manager, Laboratory Technician, Research Associate Social/Behavioral Sciences"
Student research assistant,"Doctoral researcher, doctoral student, Doctoral Student and Full-time Research Staff, Graduate student, Graduate Student, Graduate Student Research Assistant, Graduate student researcher, PhD candidate, PhD Researcher, PhD student, Post-bachelor researcher, REU student"
